"Kennziffer";"Berufsgruppe";"Gültig"
"2222";"Berufe Lacklaboratorium";"J"
"22222";"Berufe Lacklaboratorium-fachl.ausg.Tät.";"J"
"2229";"Aufsichtskr.-Farb- & Lacktechnik";"J"
"22293";"Aufsichtskr.-Farb- & Lacktechnik";"J"
"223";"Holzbe- & -verarbeitung";"J"
"2230";"Berufe Holzbe- & -verarbeitung (o.Spez.)";"J"
"22301";"Berufe Holzbe- & -verarbeitung (o.Spez.)-Helf./Anlerntät.";"J"
"22302";"Berufe Holzbe- & -verarbeitung (o.Spez.)-fachl.ausg.Tät.";"J"
"22303";"Berufe Holzbe- & -verarbeitung (o.Spez.)-kompl.Spez.tät.";"J"
"22304";"Berufe Holzbe- & -verarbeitung (o.Spez.)-hoch kompl.Tät.";"J"
"2231";"Berufe Holztrocknung & -konservierung";"J"
"22312";"Berufe Holztrocknung & -konservierung-fachl.ausg.Tät.";"J"
"2232";"Berufe Prod. v. Holzwerkstoffen & -bauteilen";"J"
"22322";"Berufe Prod. v. Holzwerkstoffen & -bauteilen-fachl.ausg.Tät.";"J"
"2233";"Berufe Prod. v. Fertigprod. Holz&Holzwerkst.";"J"
"22332";"Berufe Prod. v. Fertigprod. Holz&Holzwerkst.-fachl.ausg.Tät.";"J"
"22333";"Berufe Prod. v. Fertigprod. Holz&Holzwerkst.-kompl.Spez.tät.";"J"
"2234";"Berufe Holz-, Möbel- & Innenausbau";"J"
"22342";"Berufe Holz-, Möbel- & Innenausbau-fachl.ausg.Tät.";"J"
"22343";"Berufe Holz-, Möbel- & Innenausbau-kompl.Spez.tät.";"J"
"2235";"Flechtwerkgestalt., Bürsten- & Pinselmacher";"J"
"22352";"Flechtwerkgestalt., Bürsten- & Pinselmacher.-fachl.ausg.Tät.";"J"
"2238";"Berufe Holzbe-& verarbeit. (sonst.spez.Tät.)";"J"
"22382";"Berufe Holzbe-& verarbeit. (sonst.spez.Tät.)-fachl.ausg.Tät.";"J"
"2239";"Aufsichts- & Führungskr.-Holzbe- & -verarbeitung";"J"
"22393";"Aufsichtskr.-Holzbe- & -verarbeitung";"J"
"22394";"Führungskr.-Holzbe- & -verarbeitung";"J"
"23";"Papier- & Druckberufe, technische Mediengestaltung";"J"
"231";"Papier- & Verpackungstechnik";"J"
"2310";"Berufe Papier- & Verpackungstech. (o.Spez.)";"J"
"23101";"Berufe Papier- & Verpackungstech. (o.Spez.)-Helf./Anlerntät.";"J"
"2311";"Berufe Papierherstellung";"J"
"23112";"Berufe Papierherstellung-fachl.ausg.Tät.";"J"
"23113";"Berufe Papierherstellung-kompl.Spez.tät.";"J"
"23114";"Berufe Papierherstellung-hoch kompl.Tät.";"J"
"2312";"Berufe Papierverarbeit. & Verpackungstechnik";"J"
"23122";"Berufe Papierverarbeit. & Verpackungstechnik-fachl.ausg.Tät.";"J"
"23123";"Berufe Papierverarbeit. & Verpackungstechnik-kompl.Spez.tät.";"J"
"23124";"Berufe Papierverarbeit. & Verpackungstechnik-hoch kompl.Tät.";"J"
"2319";"Aufsichtskr.-Papier- & Verpackungstechnik";"J"
"23193";"Aufsichtskr.-Papier- & Verpackungstechnik";"J"
"232";"Technische Mediengestaltung";"J"
"2321";"Berufe Digital- & Printmediengestaltung";"J"
"23212";"Berufe Digital- & Printmediengestaltung-fachl.ausg.Tät.";"J"
"23213";"Berufe Digital- & Printmediengestaltung-kompl.Spez.tät.";"J"
"2322";"Berufe Grafik-, Kommunikations- & Fotodesign";"J"
"23222";"Berufe Grafik-, Kommunikations- & Fotodesign-fachl.ausg.Tät.";"J"
"23223";"Berufe Grafik-, Kommunikations- & Fotodesign-kompl.Spez.tät.";"J"
"23224";"Berufe Grafik-, Kommunikations- & Fotodesign-hoch kompl.Tät.";"J"
